sku,image_url
NTS1-CB-40SAR,"https://cdn.globalso.com/aolga-hk/191.jpg,https://cdn.globalso.com/aolga-hk/261.jpg,https://cdn.globalso.com/aolga-hk/348.jpg"
NTS1-M-25A,"https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-25A1.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-25A（3）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-25A.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-25A（2）.jpg"
NTS1-M-30A,"https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A4.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A（3）2.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A（2）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A（1）2.jpg"
NTS1-M-40A,"https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-40A（2）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-40A（6）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-40A（5）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-40A（4）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-40A（3）.jpg"
NTS1-M-50A,"https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-50A（4）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-50A（3）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-50A（2）.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-50A.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-50A（1）.jpg"
NTS1-M-30B,https://cdn.globalso.com/aolga-hk/199.jpg
NTS1-M-40B,https://cdn.globalso.com/aolga-hk/1013.jpg
NTS1-M-22C,"https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-22C.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-22C（1）.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-22C（2）.jpg"
NTS1-M-25C/M-30C,"https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A（4）1.jpg,https://cdn.globalso.com/aolga-hk/Hotel-Absorption-Minibar-M-30C.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A（1）1.jpg,https://cdn.globalso.com/aolga-hk/Absorption-Minibar-M-30A3.jpg,https://cdn.globalso.com/aolga-hk/Hotel-Absorption-Minibar-M-30C（1）.jpg"
NTS1-M-45C,"https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-45C（1）.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-45C（2）.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-45C（3）.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-45C（4）.jpg,https://cdn.globalso.com/aolga-hk/Drawer-Minibar-M-45C.jpg"
NTS1-M-25T,"https://cdn.globalso.com/aolga-hk/2510.jpg,https://cdn.globalso.com/aolga-hk/262.jpg"
NTS1-M-40T,"https://cdn.globalso.com/aolga-hk/194.jpg,https://cdn.globalso.com/aolga-hk/263.jpg"
NTS1-M-30T,https://cdn.globalso.com/aolga-hk/30T.jpg
NTS1-M-25B,https://cdn.globalso.com/aolga-hk/197.jpg
NTS1-M-22BA,"https://cdn.globalso.com/aolga-hk/1100.jpg,https://cdn.globalso.com/aolga-hk/353.jpg,https://cdn.globalso.com/aolga-hk/268.jpg"
NTS1-M-22BC,"https://cdn.globalso.com/aolga-hk/1101.jpg,https://cdn.globalso.com/aolga-hk/269.jpg,https://cdn.globalso.com/aolga-hk/354.jpg,https://cdn.globalso.com/aolga-hk/427.jpg"
NTS1-CB-20SA,"https://cdn.globalso.com/aolga-hk/113.png,https://cdn.globalso.com/aolga-hk/28.png"
NTS1-CB-30SA,"https://cdn.globalso.com/aolga-hk/115.png,https://cdn.globalso.com/aolga-hk/210.png"
NTS1-CB-40SA,"https://cdn.globalso.com/aolga-hk/117.png,https://cdn.globalso.com/aolga-hk/212.png"
NTS1-CB-45SA,"https://cdn.globalso.com/aolga-hk/349.jpg,https://cdn.globalso.com/aolga-hk/264.jpg,https://cdn.globalso.com/aolga-hk/350.jpg"
NTS1-CB-21SA,"https://cdn.globalso.com/aolga-hk/196.jpg,https://cdn.globalso.com/aolga-hk/265.jpg"
NTS1-CB-30SAF,"https://cdn.globalso.com/aolga-hk/1102.jpg,https://cdn.globalso.com/aolga-hk/270.jpg"
NTS1-CB-40SAFN,"https://cdn.globalso.com/aolga-hk/1104.jpg,https://cdn.globalso.com/aolga-hk/273.jpg"
NTS1-SC-20SA,"https://cdn.globalso.com/aolga-hk/114.png,https://cdn.globalso.com/aolga-hk/29.png"
NTS1-SC-30SA,"https://cdn.globalso.com/aolga-hk/116.png,https://cdn.globalso.com/aolga-hk/211.png"
NTS1-SC-40SA,"https://cdn.globalso.com/aolga-hk/118.png,https://cdn.globalso.com/aolga-hk/213.png"
NTS1-SC-30SAF,"https://cdn.globalso.com/aolga-hk/1103.jpg,https://cdn.globalso.com/aolga-hk/271.jpg"
NTS1-SC-40SAFN,"https://cdn.globalso.com/aolga-hk/16.png,https://cdn.globalso.com/aolga-hk/25.png"
NTS1-K-BE100,"https://cdn.globalso.com/aolga-hk/1124.jpg,https://cdn.globalso.com/aolga-hk/287.jpg,https://cdn.globalso.com/aolga-hk/368.jpg"
NTS1-K-DR200,"https://cdn.globalso.com/aolga-hk/1130.jpg,https://cdn.globalso.com/aolga-hk/292.jpg"
NTS1-K-BE800,"https://cdn.globalso.com/aolga-hk/1129.jpg,https://cdn.globalso.com/aolga-hk/290.jpg"
NTS1-K-BE800,"https://cdn.globalso.com/aolga-hk/1128.jpg,https://cdn.globalso.com/aolga-hk/289.jpg,https://cdn.globalso.com/aolga-hk/369.jpg,https://cdn.globalso.com/aolga-hk/434.jpg"
NTS1-K-BE200,"https://cdn.globalso.com/aolga-hk/288.jpg,https://cdn.globalso.com/aolga-hk/1126.jpg,https://cdn.globalso.com/aolga-hk/521.jpg,https://cdn.globalso.com/aolga-hk/433.jpg"
NTS1-K-JG002,"https://cdn.globalso.com/aolga-hk/1121.jpg,https://cdn.globalso.com/aolga-hk/285.jpg,https://cdn.globalso.com/aolga-hk/366.jpg,https://cdn.globalso.com/aolga-hk/432.jpg"
